label,value
Film 159,Film 159
Film 171,Film 171
Film 172,Film 172
Film 178,Film 178
Film 180,Film 180
Film 197,Film 197
Film 198,Film 198
Film 199,Film 199
Film 200,Film 200
Film 201,Film 201
Film 203,Film 203
Film 220,Film 220
Film 225,Film 225
Film 230,Film 230
Film 270,Film 270
Film 281,Film 281
Film 297,Film 297
Film 299,Film 299
FLCD 101,FLCD 101
FLCD 102,FLCD 102
FLCD 124,FLCD 124
FLCD 127,FLCD 127
FLCD 128,FLCD 128
FLCD 132,FLCD 132
FLCD 133,FLCD 133
FLCD 136,FLCD 136
FLCD 174,FLCD 174
FLCD 175,FLCD 175
FLCD 188,FLCD 188
FLCD 200,FLCD 200
FLCD 201,FLCD 201
FLCD 203,FLCD 203
FLCD 209,FLCD 209
FLCD 211,FLCD 211
FLCD 221,FLCD 221
FLCD 225,FLCD 225
FLCD 227,FLCD 227
FLCD 274,FLCD 274
FLCD 299,FLCD 299
FLCD 300,FLCD 300
FN 102,FN 102
FN 110,FN 110
FN 121,FN 121
FN 123,FN 123
FN 126,FN 126
FN 131,FN 131
FN 132,FN 132
FN 134,FN 134
FN 141.1,FN 141.1
FN 142,FN 142
FN 176,FN 176
FN 190,FN 190
FN 199,FN 199
French 10,French 10
French 11,French 11
French 12,French 12
French 13,French 13
French 16,French 16
French 30,French 30
French 51,French 51
French 61,French 61
French 101,French 101
French 130,French 130
FS 105,FS 105
FS 110,FS 110
FS 116,FS 116
FS 127,FS 127
FS 128,FS 128
FS 131,FS 131
FS 134,FS 134
FS 139,FS 139
FS 152,FS 152
FS 157,FS 157
FS 159,FS 159
FS 178,FS 178
FS 197,FS 197
FS 199,FS 199
FS 200,FS 200
FS 217,FS 217
FS 218,FS 218
FS 231,FS 231
FS 286,FS 286
FS 290,FS 290
FS 291,FS 291
FS 299,FS 299
FS 300,FS 300
GE 1,GE 1
GE 10,GE 10
GE 11,GE 11
GE 12,GE 12
GE 30,GE 30
GE 117,GE 117
GE 118,GE 118
GE 119,GE 119
GE 120,GE 120
GE 122,GE 122
GE 127,GE 127
GE 128,GE 128
GE 142,GE 142
GE 143,GE 143
GE 148,GE 148
GE 152,GE 152
GE 153,GE 153
GE 154,GE 154
GE 155.1,GE 155.1
GE 155.2,GE 155.2
GE 168,GE 168
GE 191,GE 191
GE 199,GE 199
GE 300,GE 300
Geog 1,Geog 1
Geog 101,Geog 101
Geog 105,Geog 105
Geog 109,Geog 109
Geog 111,Geog 111
Geog 119,Geog 119
Geog 121,Geog 121
Geog 124,Geog 124
Geog 131,Geog 131
Geog 135,Geog 135
Geog 145,Geog 145
Geog 151,Geog 151
Geog 161,Geog 161
Geog 171,Geog 171
Geog 173,Geog 173
Geog 190,Geog 190
Geog 197,Geog 197
Geog 199,Geog 199
Geog 211,Geog 211
Geog 213,Geog 213
Geog 242,Geog 242
Geog 243,Geog 243
Geog 255,Geog 255
Geog 292,Geog 292
Geog 300,Geog 300
Geog 321,Geog 321
Geol 1,Geol 1
Geol 11,Geol 11
Geol 11.1,Geol 11.1
Geol 12,Geol 12
Geol 51,Geol 51
Geol 105,Geol 105
Geol 117,Geol 117
Geol 118,Geol 118
Geol 122,Geol 122
Geol 131,Geol 131
Geol 135,Geol 135
Geol 154,Geol 154
Geol 170,Geol 170
Geol 177,Geol 177
Geol 190,Geol 190
Geol 194,Geol 194
Geol 197,Geol 197
Geol 212,Geol 212
Geol 250,Geol 250
Geol 255,Geol 255
Geol 297,Geol 297
Geol 399,Geol 399
German 10,German 10
German 11,German 11
German 12,German 12
German 13,German 13
German 16,German 16
German 30,German 30
German 51,German 51
German 61,German 61
German 101,German 101
German 130,German 130
German 140,German 140
GIM 175,GIM 175
GmE 202,GmE 202
GmE 203,GmE 203
GmE 205,GmE 205
GmE 210,GmE 210
GmE 216,GmE 216
GmE 222,GmE 222
GmE 230,GmE 230
GmE 231,GmE 231
GmE 243,GmE 243
GS 197,GS 197
Hapon 10,Hapon 10
Hapon 11,Hapon 11
Hapon 12,Hapon 12
Hapon 13,Hapon 13
Hapon 110,Hapon 110
Hapon 120,Hapon 120
Hapon 121,Hapon 121
Hapon 122,Hapon 122
HE 100,HE 100
HE 101,HE 101
HE 290,HE 290
HE 390,HE 390
HEEd 122,HEEd 122
HEEd 131,HEEd 131
HEEd 134,HEEd 134
HEEd 137,HEEd 137
HEEd 138,HEEd 138
HEEd 139,HEEd 139
HEEd 149,HEEd 149
HEEd 197,HEEd 197
HEEd 200,HEEd 200
HEEd 214,HEEd 214
HEEd 220,HEEd 220
HEEd 288,HEEd 288
HEEd 300,HEEd 300
HEEd 400,HEEd 400
HMS 201,HMS 201
HMS 206,HMS 206
HMS 214,HMS 214
HMS 215,HMS 215
HMS 217,HMS 217
HMS 231,HMS 231
HMS 234,HMS 234
HMS 241,HMS 241
HMS 242,HMS 242
HMS 298,HMS 298
HMS 299,HMS 299
HMS 300,HMS 300
HRIM 101,HRIM 101
HRIM 102,HRIM 102
HRIM 103,HRIM 103
HRIM 106,HRIM 106
